Map,Pokemon,DexID,Morning,Day,Night,MinLvl,MaxLvl,Item,Member,Tier
Eumi Island Theme Park 2,Zigzagoon,263,1,1,1,25,30,Oran Berry,0,Common
Eumi Island Theme Park 3,Froakie,656,1,1,1,25,30,,0,Rare
Eumi Island Theme Park 3,Gulpin,316,1,1,1,25,30,Iapapa Berry,0,Uncommon
Eumi Island Theme Park 3,Loudred,294,1,1,1,25,30,Chesto Berry,0,Common
Eumi Island Theme Park 3,Roselia,315,1,1,1,25,30,Poison Barb,0,Uncommon
Eumi Island Theme Park 3,Seedot,273,1,1,1,25,30,,0,Common
Eumi Island Theme Park 3,Skitty,300,1,1,1,25,30,Chilan Berry,0,Uncommon
Eumi Island Theme Park 3,Spoink,325,1,1,1,25,30,Tanga Berry,0,Uncommon
Eumi Island Theme Park 3,Taillow,276,1,1,1,25,30,,0,Common
Eumi Island Town,Eevee,133,1,1,1,23,24,,0,Rare
Eumi Island Town,Electrike,309,1,1,1,25,30,,0,Uncommon
Eumi Island Town,Furfrou,676,1,1,1,25,30,,0,Rare
Eumi Island Town,Gothita,574,1,1,1,25,30,Persim Berry,0,Rare
Eumi Island Town,Illumise,314,1,1,1,25,30,Wiki Berry,0,Uncommon
Eumi Island Town,Nuzleaf,274,1,1,1,25,30,Power Herb,0,Common
Eumi Island Town,Poochyena,261,1,1,1,25,30,Pecha Berry,0,Common
Eumi Island Town,Skitty,300,1,1,1,25,30,Chilan Berry,0,Uncommon
Eumi Island Town,Taillow,276,1,1,1,25,30,Charti Berry,0,Common
Eumi Island Town,Volbeat,313,1,1,1,25,30,Figy Berry,0,Uncommon
Evergreen Island Crystal Cave,Bergmite,712,1,1,1,10,14,,0,Rare
Evergreen Island Crystal Cave,Bronzor,436,1,1,1,25,30,Metal Coat,0,Common
Evergreen Island Crystal Cave,Ditto,132,1,1,1,18,20,Quick Powder,0,Rare
Evergreen Island Crystal Cave,Growlithe,58,1,1,1,20,22,Rawst Berry,0,Common
Evergreen Island Crystal Cave,Kecleon,352,1,1,1,25,30,Persim Berry,0,Uncommon
Evergreen Island Crystal Cave,Sableye,302,1,1,1,18,20,Enigma Berry,0,Rare
Evergreen Island Crystal Cave,Sandshrew,27,1,1,1,25,30,Quick Claw,0,Common
Evergreen Island Crystal Cave,Snorunt,361,1,1,1,25,30,Babiri Berry,0,Uncommon
Evergreen Island Crystal Cave,Spheal,363,1,1,1,25,30,,0,Uncommon
Evergreen Island Frozen Cave,Buizel,418,1,1,1,25,31,Wacan Berry,0,Uncommon
Evergreen Island Frozen Cave,Buneary,427,1,1,1,20,22,Chople Berry,0,Uncommon
Evergreen Island Frozen Cave,Duskull,355,1,1,1,25,31,Kasib Berry,0,Uncommon
Evergreen Island Frozen Cave,Gible,443,1,1,1,10,14,Haban Berry,0,Rare
Evergreen Island Frozen Cave,Growlithe,58,1,1,1,20,22,Rawst Berry,0,Common
Evergreen Island Frozen Cave,Quagsire,195,1,1,1,25,31,,0,Common
Evergreen Island Frozen Cave,Sableye,302,1,1,1,10,14,Enigma Berry,0,Rare
Evergreen Island Frozen Cave,Swinub,220,1,1,1,22,27,Aspear Berry,0,Common
Evergreen Island Frozen Path,Clefairy,35,1,1,1,25,31,Moon Stone,0,Common
Evergreen Island Frozen Path,Golbat,42,1,1,1,25,31,,0,Common
Evergreen Island Frozen Path,Mawile,303,1,1,1,25,31,Razor Fang,0,Rare
Evergreen Island Frozen Path,Pikachu,25,1,1,1,25,31,Light Ball,0,Uncommon
Evergreen Island Frozen Path,Skitty,300,1,1,1,25,31,Chilan Berry,0,Uncommon
Evergreen Island Frozen Path,Spoink,325,1,1,1,25,31,Tanga Berry,0,Uncommon
Evergreen Island Frozen Path,Teddiursa,216,1,1,1,25,31,Sitrus Berry,0,Common
Evergreen Island Frozen Path,Timburr,532,1,1,1,25,31,,0,Rare
Evergreen Island Valley,Charmander,4,1,1,1,20,22,,0,Rare
Evergreen Island Valley,Growlithe,58,1,1,1,20,22,Rawst Berry,0,Common
Evergreen Island Valley,Natu,177,1,1,1,23,25,,0,Common
Evergreen Island Valley,Petilil,548,1,1,1,20,22,,1,Rare
Evergreen Island Valley,Phanpy,231,1,1,1,23,25,Passho Berry,0,Uncommon
Evergreen Island Valley,Pikachu,25,1,1,1,23,25,Light Ball,0,Uncommon
Evergreen Island Valley,Vulpix,37,1,1,1,23,25,Rawst Berry,0,Uncommon
Evergreen Island Valley,Wooper,194,1,1,1,23,25,,0,Common
Evergreen Island Valley Path,Farfetchd,83,1,1,1,25,30,Stick,0,Uncommon
Evergreen Island Valley Path,Growlithe,58,1,1,1,17,22,Rawst Berry,0,Common
Evergreen Island Valley Path,Loudred,294,1,1,1,25,30,Chesto Berry,0,Common
Evergreen Island Valley Path,Numel,322,1,1,1,25,30,Rawst Berry,0,Uncommon
Evergreen Island Valley Path,Pawniard,624,1,1,1,15,20,,1,Rare
Evergreen Island Valley Path,Phantump,708,1,1,1,15,20,Spell Tag,0,Rare
Evergreen Island Valley Path,Spoink,325,1,1,1,25,30,Tanga Berry,0,Uncommon
Evergreen Island Valley Path,Swinub,220,1,1,1,25,27,Aspear Berry,0,Common
Evergreen Island Village Cave,Litwick,607,1,1,1,26,26,,0,Rare
Evergreen Island Village Cave,Numel,322,1,1,1,21,26,Rawst Berry,0,Uncommon
Evergreen Island Village Cave,Sandshrew,27,1,1,1,21,26,Quick Claw,0,Common
Evergreen Island Village Cave,Spinda,327,1,1,1,21,26,Chesto Berry,0,Uncommon
Evergreen Island Village Cave,Whismur,293,1,1,1,21,26,Chesto Berry,0,Common
Evergreen Island Village Cave,Zorua,570,1,1,1,21,26,,0,Rare
Evergreen Island Village Cave,Zubat,41,1,1,1,21,26,,0,Common
Evergreen Waterway,Magby,240,1,1,1,25,31,,0,Rare
Evergreen Waterway,Munchlax,446,1,1,1,25,31,,0,Rare
Evergreen Waterway,Sandshrew,27,1,1,1,25,31,,0,Common
Evergreen Waterway,Sandslash,28,1,1,1,25,31,,0,Common
Evergreen Waterway,Sentret,161,1,1,1,25,31,,0,Common
Evergreen Waterway,Skitty,300,1,1,1,25,31,,0,Uncommon
Evergreen Waterway,Vulpix,37,1,1,1,25,31,,0,Uncommon
Festival Town,Arcanine,59,1,1,1,24,30,Rawst Berry,0,Common
Festival Town,Bronzor,436,1,1,1,24,30,Metal Coat,0,Common
Festival Town,Buneary,427,1,1,1,20,22,Chople Berry,0,Uncommon
Festival Town,Farfetchd,83,1,1,1,24,30,Stick,0,Uncommon
Festival Town,Meowth,52,1,1,1,24,30,Quick Claw,0,Common
Festival Town,Mimikyu,778,1,1,1,24,30,,1,Rare
Festival Town,Plusle,311,1,1,1,24,30,,0,Uncommon
Festival Town,Zangoose,335,1,1,1,24,30,Quick Claw,0,Rare
Fiery Path,Grimer,88,1,1,1,20,22,Black Sludge,0,Common
Fiery Path,Koffing,109,1,1,1,20,22,Smoke Ball,0,Common
Fiery Path,Machop,66,1,1,1,20,22,Payapa Berry,0,Common
Fiery Path,Magby,240,1,1,1,20,22,Magmarizer,0,Rare
Fiery Path,Numel,322,1,1,1,20,22,Rawst Berry,0,Uncommon
Fiery Path,Roggenrola,524,1,1,1,23,25,Hard Stone,1,Rare
Fiery Path,Slugma,218,1,1,1,20,22,Heat Rock,0,Common
Fiery Path,Torkoal,324,1,1,1,20,22,Heat Rock,0,Uncommon
Fire Island cave,Graveler,75,1,1,1,19,23,Hard Stone,0,Common
Fire Island cave,Magby,240,1,1,1,19,23,Magmarizer,0,Rare
Fire Island cave,Nidoran M,32,1,1,1,19,23,,0,Common
Fire Island cave,Numel,322,1,1,1,19,23,Rawst Berry,0,Uncommon
Fire Island cave,Slugma,218,1,1,1,19,23,,0,Common
Fire Island cave,Torkoal,324,1,1,1,19,23,Heat Rock,0,Uncommon
Fire Island cave,Vulpix,37,1,1,1,19,23,Rawst Berry,0,Uncommon
Five Isle Meadow,Hoppip,187,1,1,0,15,19,,0,Common
Five Isle Meadow,Meowth,52,1,0,1,15,19,,0,Common
Five Isle Meadow,Persian,53,0,0,1,46,50,,0,Common
Five Isle Meadow,Pidgeotto,17,1,1,1,46,50,,0,Common
Five Isle Meadow,Ponyta,77,1,1,1,15,19,,0,Uncommon
Five Isle Meadow,Psyduck,54,1,1,1,15,19,,0,Common
Five Isle Meadow,Rapidash,78,1,1,1,20,24,,0,Uncommon
Five Isle Meadow,Sentret,161,1,1,0,10,14,,0,Common
Five Isle Meadow,Skiddo,672,1,1,1,10,14,,1,Rare
Five Isle Meadow,Slowpoke,79,1,1,1,12,16,Lagging Tail,0,Common
Flake Path,Clefairy,35,1,1,1,25,30,Moon Stone,0,Common
Flake Path,Growlithe,58,1,1,1,20,22,Rawst Berry,0,Common
Flake Path,Marill,183,1,1,1,25,30,,0,Uncommon
Flake Path,Misdreavus,200,1,1,1,25,30,Spell Tag,0,Uncommon
Flake Path,Munchlax,446,1,1,1,20,24,Leftovers,0,Rare
Flake Path,Spiritomb,442,1,1,1,25,30,,0,Rare
Flake Path,Teddiursa,216,1,1,1,25,30,Sitrus Berry,0,Common
Flake Path,Vulpix,37,1,1,1,25,30,Rawst Berry,0,Uncommon
Flake Wood,Bulbasaur,1,1,1,1,10,14,,0,Rare
Flake Wood,Carnivine,455,1,1,1,26,30,,0,Uncommon
Flake Wood,Clefable,36,1,1,1,25,30,Moon Stone,0,Uncommon
Flake Wood,Clefairy,35,1,1,1,26,30,Moon Stone,0,Common
Flake Wood,Cottonee,546,1,1,1,10,14,,0,Rare
Flake Wood,Natu,177,1,1,1,26,30,,0,Common
Flake Wood,Numel,322,1,1,1,26,30,Rawst Berry,0,Uncommon
Flake Wood,Stantler,234,1,1,1,17,20,,0,Common
Forest Dungeon Entrance,Bellsprout,69,1,1,1,22,27,,0,Common
Forest Dungeon Entrance,Bunnelby,659,1,1,1,22,27,,1,Rare
Forest Dungeon Entrance,Pansage,511,1,1,1,22,27,,0,Uncommon
Forest Dungeon Entrance,Roselia,315,1,1,1,22,27,,0,Uncommon
Forest Dungeon Entrance,Starly,396,1,1,1,22,27,,0,Common
Forest Dungeon Entrance,Tangela,114,1,1,1,22,27,,0,Common
Forest Dungeon Entrance,Venipede,543,1,1,1,22,27,Poison Barb,0,Rare
Forest Dungeon Entrance,Yanma,193,1,1,1,22,27,,0,Uncommon
Forest Maze,Breloom,286,1,1,1,22,27,,1,Uncommon
Forest Maze,Oddish,43,1,1,1,22,27,,0,Common
Forest Maze,Pansage,511,1,1,1,22,27,,0,Uncommon
Forest Maze,Paras,46,1,1,1,22,27,,0,Common
Forest Maze,Petilil,548,1,1,1,22,27,,0,Rare
Forest Maze,Shroomish,285,1,1,1,22,27,,0,Uncommon
Forest Maze,Skiploom,188,1,1,1,22,27,,0,Common
Forest Maze,Snivy,495,1,1,1,22,27,,0,Rare
Forest Maze,Weepinbell,70,1,1,1,22,27,,0,Common
Forest Maze Underground,Baltoy,343,1,1,1,19,23,Light Clay,0,Uncommon
Forest Maze Underground,Bellsprout,69,1,1,1,19,23,,0,Common
Forest Maze Underground,Cacturne,332,1,1,1,19,23,,0,Common
Forest Maze Underground,Donphan,232,1,1,1,19,23,,0,Uncommon
Forest Maze Underground,Ferroseed,597,1,1,1,19,23,,0,Rare
Forest Maze Underground,Geodude,74,1,1,1,19,23,,0,Common
Forest Maze Underground,Graveler,75,1,1,1,19,23,,0,Common
Forest Maze Underground,Roggenrola,524,1,1,1,19,23,,0,Rare
Forest Pit,Aipom,190,1,1,1,26,30,,0,Uncommon
Forest Pit,Ariados,168,1,1,1,26,30,,0,Common
Forest Pit,Hoothoot,163,1,1,1,20,24,,0,Common
Forest Pit,Karrablast,588,1,1,1,26,30,Lansat Berry,1,Rare
Forest Pit,Larvitar,246,1,1,1,23,27,,0,Rare
Forest Pit,Misdreavus,200,1,1,1,26,30,Spell Tag,0,Uncommon
Forest Pit,Natu,177,1,1,1,26,30,,0,Common
Forest Pit,Phanpy,231,1,1,1,20,24,Passho Berry,0,Uncommon
Forest Pit,Teddiursa,216,1,1,1,26,30,,0,Common
Forlorn Nesting Grounds,Bagon,371,1,1,1,28,32,Dragon Fang,0,Rare
Forlorn Nesting Grounds,Duskull,355,1,1,1,28,32,Kasib Berry,0,Uncommon
Forlorn Nesting Grounds,Houndour,228,1,1,1,28,32,Charcoal,0,Rare
Forlorn Nesting Grounds,Magnemite,81,1,1,1,28,32,Metal Coat,0,Common
Forlorn Nesting Grounds,Slowpoke,79,1,1,1,28,32,Lagging Tail,0,Common
Forlorn Nesting Grounds,Tangela,114,1,1,1,28,32,,0,Common
Forlorn Nesting Grounds,Treecko,252,1,1,1,28,32,,0,Rare
Forlorn Nesting Grounds,Vulpix,37,1,1,1,28,32,Rawst Berry,0,Uncommon
Frost Valley,Clefairy,35,1,1,1,25,31,Moon Stone,0,Common
Frost Valley,Donphan,232,1,1,1,25,31,Passho Berry,0,Uncommon
Frost Valley,Larvesta,636,1,1,1,15,19,Charti Berry,1,Rare
Frost Valley,Litwick,607,1,1,1,25,31,,0,Rare
Frost Valley,Marill,183,1,1,1,25,31,,0,Uncommon
Frost Valley,Natu,177,1,1,1,25,31,,0,Common
Frost Valley,Shuckle,213,1,1,1,25,31,Oran Berry,0,Rare
Frost Valley,Spheal,363,1,1,1,25,31,,0,Uncommon
Frost Valley,Stantler,234,1,1,1,15,20,,0,Common
Frozen Cave B1F,Abra,63,1,1,1,25,31,Twisted Spoon,0,Uncommon
Frozen Cave B1F,Bronzor,436,1,1,1,25,31,Metal Coat,0,Common
Frozen Cave B1F,Chimecho,358,1,1,1,16,18,Colbur Berry,0,Uncommon
Frozen Cave B1F,Marill,183,1,1,1,25,31,,0,Uncommon
Frozen Cave B1F,Mienfoo,619,1,1,1,25,27,,0,Rare
Frozen Cave B1F,Sandshrew,27,1,1,1,25,31,Quick Claw,0,Common
Frozen Cave B1F,Skorupi,451,1,1,1,25,27,Lansat Berry,0,Rare
Frozen Cave B1F,Swinub,220,1,1,1,25,27,Aspear Berry,0,Common
Frozen Cave B2F,Bronzor,436,1,1,1,25,30,Metal Coat,0,Common
Frozen Cave B2F,Buneary,427,1,1,1,20,22,Chople Berry,0,Uncommon
Frozen Cave B2F,Chingling,433,1,1,1,25,30,Colbur Berry,0,Uncommon
Frozen Cave B2F,Golbat,42,1,1,1,25,30,,0,Common
Frozen Cave B2F,Mienfoo,619,1,1,1,20,22,,0,Rare
Frozen Cave B2F,Numel,322,1,1,1,25,30,Rawst Berry,0,Uncommon
Frozen Cave B2F,Sandshrew-Alolan,3060,1,1,1,20,22,Ice Stone,1,Rare
Frozen Cave B2F,Swinub,220,1,1,1,25,27,Aspear Berry,0,Common
Frozen Cave Entrance,Unown,201,1,1,1,1,28,,0,Common
Fuego Ironworks,Bidoof,399,1,1,1,20,32,,0,Common
Fuego Ironworks,Hoppip,187,1,1,1,28,31,,0,Common
Fuego Ironworks,Luxio,404,1,1,1,28,31,,0,Rare
Fuego Ironworks,Magmar,126,1,1,1,28,31,,0,Rare
Fuego Ironworks,Magnemite,81,1,1,1,28,31,,0,Common
Fuego Ironworks,Pachirisu,417,1,1,1,28,31,,0,Rare
Fuego Ironworks,Shinx,403,1,1,1,28,31,,0,Rare
Fuego Ironworks,Wingull,278,1,1,1,28,31,,0,Common
Galeras Island East,Blitzle,522,1,1,1,27,33,,0,Rare
Galeras Island East,Electrike,309,1,1,1,27,33,,0,Uncommon
Galeras Island East,Emolga,587,1,1,1,27,33,,0,Rare
Galeras Island East,Magnemite,81,1,1,1,27,33,,0,Common
Galeras Island East,Magneton,82,1,1,1,27,33,,0,Common
Galeras Island East,Mareep,179,1,1,1,27,33,,0,Common
Galeras Island East,Pikachu,25,1,1,1,27,33,,0,Uncommon
Galeras Island East,Voltorb,100,1,1,1,27,33,,0,Common
Galeras Island West,Darumaka,554,1,1,1,27,33,,0,Rare
Galeras Island West,Growlithe,58,1,1,1,27,33,,0,Uncommon
Galeras Island West,Litleo,667,1,1,1,27,33,,0,Rare
Galeras Island West,Magby,240,1,1,1,27,33,,0,Rare
Galeras Island West,Phanpy,231,1,1,1,27,33,,0,Uncommon
Galeras Island West,Sandshrew,27,1,1,1,27,33,,0,Common
Galeras Island West,Slugma,218,1,1,1,27,33,,0,Common
Galeras Island West,Vulpix,37,1,1,1,27,33,,0,Uncommon
Ghoul Swamp,Cottonee,546,1,1,1,25,27,,0,Rare
Ghoul Swamp,Foongus,590,1,1,1,25,27,Tiny Mushroom,0,Rare
Ghoul Swamp,Koffing,109,1,1,1,25,27,Smoke Ball,0,Common
Ghoul Swamp,Marill,183,1,1,1,25,27,,0,Uncommon
Ghoul Swamp,Parasect,47,1,1,1,25,27,,0,Common
Ghoul Swamp,Slakoth,287,1,1,1,25,27,,0,Uncommon
Ghoul Swamp,Tangela,114,1,1,1,25,27,,0,Common
Ghoul Swamp,Tangrowth,465,1,1,1,25,27,,0,Uncommon
Granite Cave 1F,Abra,63,1,1,1,9,13,Twisted Spoon,0,Uncommon
Granite Cave 1F,Diglett,50,1,1,1,9,13,Soft Sand,0,Common
Granite Cave 1F,Geodude,74,1,1,1,9,13,Hard Stone,0,Common
Granite Cave 1F,Makuhita,296,1,1,1,9,13,Black Belt,0,Common
Granite Cave 1F,Rhyhorn,111,1,1,1,9,13,Protector,0,Uncommon
Granite Cave 1F,Timburr,532,1,1,1,15,18,,1,Rare
Granite Cave 1F,Zubat,41,1,1,1,9,13,,0,Common
Granite Cave 1F2,Abra,63,1,1,1,12,14,Twisted Spoon,0,Uncommon
Granite Cave 1F2,Geodude,74,1,1,1,12,14,,0,Common
Granite Cave 1F2,Makuhita,296,1,1,1,12,14,Black Belt,0,Uncommon
Granite Cave 1F2,Zubat,41,1,1,1,12,14,,0,Common
Granite Cave B1F,Abra,63,1,1,1,12,14,Twisted Spoon,0,Uncommon
Granite Cave B1F,Aron,304,0,1,0,12,14,Hard Stone,0,Rare
Granite Cave B1F,Axew,610,1,0,1,16,18,,0,Rare
Granite Cave B1F,Geodude,74,1,1,1,12,14,,0,Common
Granite Cave B1F,Makuhita,296,1,1,1,12,14,Black Belt,0,Uncommon
Granite Cave B1F,Onix,95,1,1,1,12,14,Hard Stone,0,Uncommon
Granite Cave B1F,Whismur,293,1,1,1,12,14,Chesto Berry,0,Common
Granite Cave B1F,Zubat,41,1,1,1,12,14,,0,Common
Granite Cave B2F,Abra,63,1,1,1,12,14,Twisted Spoon,0,Uncommon
Granite Cave B2F,Geodude,74,1,1,1,12,14,,0,Common
Granite Cave B2F,Makuhita,296,1,1,1,12,14,Black Belt,0,Uncommon
Granite Cave B2F,Mawile,303,0,1,0,12,14,,0,Rare
Granite Cave B2F,Nosepass,299,1,1,1,12,14,Hard Stone,0,Rare
Granite Cave B2F,Onix,95,1,1,1,12,14,Hard Stone,0,Uncommon
Granite Cave B2F,Sableye,302,1,0,1,12,14,Scope Lens,0,Rare
Granite Cave B2F,Zubat,41,1,1,1,12,14,,0,Common
Guild Island Cave,Drilbur,529,1,1,1,25,28,,0,Rare
Guild Island Cave,Electrike,309,1,1,1,30,32,,0,Uncommon
Guild Island Cave,Larvitar,246,1,1,1,25,28,Smooth Rock,0,Rare
Guild Island Cave,Magnemite,81,1,1,1,30,32,Metal Coat,0,Common
Guild Island Cave,Mankey,56,1,1,1,25,28,,0,Common
Guild Island Cave,Marill,183,1,1,1,30,32,,0,Uncommon
Guild Island Cave,Piloswine,221,1,1,1,30,32,,0,Common
Guild Island Cave,Torkoal,324,1,1,1,30,32,Heat Rock,0,Uncommon
Guild Island Cave Depths,Chimchar,390,1,1,1,29,32,,0,Rare
Guild Island Cave Depths,Gible,443,1,1,1,29,32,Haban Berry,0,Rare
Guild Island Cave Depths,Kadabra,64,1,1,1,29,32,Twisted Spoon,0,Uncommon
Guild Island Cave Depths,Marill,183,1,1,1,29,32,,0,Uncommon
Guild Island Cave Depths,Piloswine,221,1,1,1,29,32,Never-Melt Ice,0,Common
Guild Island Cave Depths,Swinub,220,1,1,1,29,32,Aspear Berry,0,Common
Guild Island Cave Depths,Tangela,114,1,1,1,29,32,,0,Common
Guild Island Falls,Ditto,132,1,1,1,30,32,Quick Powder,0,Rare
Guild Island Falls,Jangmo-o,782,1,1,1,25,28,,0,Rare
Guild Island Falls,Magnemite,81,1,1,1,30,32,Metal Coat,0,Common
Guild Island Falls,Magneton,82,1,1,1,30,32,Metal Coat,0,Common
Guild Island Falls,Mankey,56,1,1,1,25,28,,0,Common
Guild Island Falls,Marill,183,1,1,1,30,32,,0,Uncommon
Guild Island Falls,Piloswine,221,1,1,1,30,32,Never-Melt Ice,0,Common
Guild Island Falls,Sneasel,215,1,1,1,30,32,Razor Claw,0,Uncommon
Guild Island Forest,Bulbasaur,1,1,1,1,15,20,,0,Rare
Guild Island Forest,Buneary,427,1,1,1,20,22,Chople Berry,0,Uncommon
Guild Island Forest,Foongus,590,1,1,1,20,22,Tiny Mushroom,0,Rare
Guild Island Forest,Kadabra,64,1,1,1,25,28,Twisted Spoon,0,Uncommon
Guild Island Forest,Mankey,56,1,1,1,25,28,,0,Common
Guild Island Forest,Marill,183,1,1,1,25,28,,0,Uncommon
Guild Island Forest,Slowpoke,79,1,1,1,25,28,Lagging Tail,0,Common
Guild Island Forest,Tangela,114,1,1,1,25,28,,0,Common
Haunted Cave,Baltoy,343,1,1,1,25,30,Light Clay,0,Uncommon
Haunted Cave,Bronzong,437,1,1,1,25,30,Metal Coat,0,Common
Haunted Cave,Gible,443,1,1,1,25,28,Haban Berry,0,Rare
Haunted Cave,Gligar,207,1,1,1,25,28,Razor Fang,0,Rare
Haunted Cave,Growlithe,58,1,1,1,25,30,Rawst Berry,0,Common
Haunted Cave,Magnemite,81,1,1,1,25,30,Metal Coat,0,Common
Haunted Cave,Mankey,56,1,1,1,25,28,,0,Common
Haunted Cave,Solrock,338,1,1,1,25,30,Sun Stone,0,Uncommon
Haunted Cave,Wooper-Paldea,3249,1,1,1,25,28,,0,Uncommon
Haunted Cave Depths 1,Blacephalon,806,1,1,1,15,19,,0,Rare
Haunted Cave Depths 1,Duskull,355,1,1,1,25,30,Kasib Berry,0,Uncommon
Haunted Cave Depths 1,Electrike,309,1,1,1,25,30,,0,Uncommon
Haunted Cave Depths 1,Gastly,92,1,1,1,15,19,,0,Common
Haunted Cave Depths 1,Growlithe,58,1,1,1,25,30,Rawst Berry,0,Common
Haunted Cave Depths 1,Magneton,82,1,1,1,25,30,Metal Coat,0,Common
Haunted Cave Depths 1,Ponyta,77,1,1,1,25,30,,0,Uncommon
Haunted Cave Depths 2,Guzzlord,799,1,1,1,25,28,,0,Rare
Haunted Cave Depths 2,Mankey,56,1,1,1,25,28,,0,Common
Haunted Cave Depths 2,Marill,183,1,1,1,25,28,,0,Uncommon
Haunted Cave Depths 2,Mightyena,262,1,1,1,25,28,Pecha Berry,0,Common
Haunted Cave Depths 2,Nosepass,299,1,1,1,25,28,Magnet,0,Uncommon
Haunted Cave Depths 2,Primeape,57,1,1,1,25,28,,0,Common
Haunted Cave Depths 2,Wooper-Paldea,3249,1,1,1,25,28,,0,Uncommon
Haunted House 1F,Abra,63,1,1,1,24,25,Twisted Spoon,0,Uncommon
Haunted House 1F,Ariados,168,1,1,1,24,25,,0,Common
Haunted House 1F,Buneary,427,1,1,1,20,22,Chople Berry,0,Uncommon
Haunted House 1F,Duskull,355,1,1,1,24,25,Kasib Berry,0,Uncommon
Haunted House 1F,Haunter,93,1,1,1,15,19,Spell Tag,0,Common
Haunted House 1F,Joltik,595,1,1,1,15,19,,0,Rare
Haunted House 1F,Meowth,52,1,1,1,24,25,Quick Claw,0,Common
Haunted House 1F,Pinsir,127,1,1,1,15,19,,0,Rare
Haunted House 1F,Smeargle,235,1,1,1,15,19,,0,Rare
Haunted House 2F,Aron,304,1,1,1,24,25,Hard Stone,0,Rare
Haunted House 2F,Chingling,433,1,1,1,24,30,Colbur Berry,0,Uncommon
Haunted House 2F,Farfetchd,83,1,1,1,24,25,Stick,0,Uncommon
Haunted House 2F,Hypno,97,1,1,1,24,30,,0,Common
Haunted House 2F,Mankey,56,1,1,1,24,28,,0,Common
Haunted House 2F,Sableye,302,1,1,1,24,25,Enigma Berry,0,Rare
Haunted House 2F,Spinarak,167,1,1,1,24,30,Tamato Berry,0,Common
Haunted House 2F,Wooper-Paldea,3249,1,1,1,24,25,,0,Uncommon
Haunted House 3F,Baltoy,343,1,1,1,24,28,Light Clay,0,Uncommon
Haunted House 3F,Electrike,309,1,1,1,24,28,,0,Uncommon
Haunted House 3F,Gastly,92,1,1,1,15,19,,0,Common
Haunted House 3F,Growlithe,58,1,1,1,24,28,Rawst Berry,0,Common
Haunted House 3F,Mankey,56,1,1,1,24,28,,0,Common
Haunted House 3F,Marill,183,1,1,1,24,28,,0,Uncommon
Haunted House 3F,Ralts,280,1,1,1,10,14,Dawn Stone,0,Rare
Haunted House 3F,Sneasel-Hisui,3230,1,1,1,15,19,,1,Rare
High Tide Entrance Room,Cubchoo,613,1,1,1,30,38,,1,Rare
High Tide Entrance Room,Delibird,225,1,1,1,30,38,Never-Melt Ice,0,Common
High Tide Entrance Room,Dewgong,87,1,1,1,30,38,,0,Common
High Tide Entrance Room,Golbat,42,1,1,1,30,38,,0,Common
High Tide Entrance Room,Sealeo,364,1,1,1,30,38,,0,Uncommon
High Tide Entrance Room,Spheal,363,1,1,1,30,38,,0,Uncommon
Hoenn Festival,Electrike,309,1,1,1,30,34,,0,Uncommon
Hoenn Festival,Linoone,264,1,1,1,30,34,Sitrus Berry,0,Common
Hoenn Festival,Roselia,315,1,1,1,30,34,Poison Barb,0,Uncommon
Hoenn Festival,Seedot,273,1,1,1,30,32,Power Herb,0,Common
Hoenn Festival,Slakoth,287,1,1,1,30,34,,0,Uncommon
Hoenn Festival,Taillow,276,1,1,1,30,34,Charti Berry,0,Common
Hoenn Festival,Treecko,252,1,1,1,30,34,,0,Rare
Hoenn Festival,Zangoose,335,1,1,1,30,34,Quick Claw,0,Rare
Hoenn Festival Cave,Absol,359,1,1,1,24,27,,0,Rare
Hoenn Festival Cave,Makuhita,296,1,1,1,30,34,Black Belt,0,Common
Hoenn Festival Cave,Mightyena,262,1,1,1,30,34,Pecha Berry,0,Common
Hoenn Festival Cave,Numel,322,1,1,1,30,30,Rawst Berry,0,Uncommon
Hoenn Festival Cave,Shuppet,353,1,1,1,21,25,Spell Tag,0,Uncommon
Hoenn Festival Cave,Torchic,255,1,1,1,30,34,,0,Rare
Hoenn Festival Cave,Torkoal,324,1,1,1,30,34,Heat Rock,0,Uncommon
Hoenn Festival Cave,Whismur,293,1,1,1,30,34,Chesto Berry,0,Common
Hoenn Safari Zone Area 1,Castform,351,1,1,1,28,32,Mystic Water,0,Rare
Hoenn Safari Zone Area 1,Girafarig,203,1,1,1,28,32,Persim Berry,0,Common
Hoenn Safari Zone Area 1,Gulpin,316,1,1,1,28,32,Iapapa Berry,0,Uncommon
Hoenn Safari Zone Area 1,Natu,177,1,1,1,28,32,,0,Common
Hoenn Safari Zone Area 1,Pidgeotto,17,0,1,0,28,32,,0,Common
Hoenn Safari Zone Area 1,Pikachu,25,1,1,1,28,32,Light Ball,0,Uncommon
Hoenn Safari Zone Area 1,Psyduck,54,1,0,1,28,32,,0,Common
Hoenn Safari Zone Area 1,Roselia,315,1,1,1,28,32,Poison Barb,0,Uncommon
Hoenn Safari Zone Area 1,Solosis,577,1,1,1,33,36,Persim Berry,1,Rare
Hoenn Safari Zone Area 1,Wynaut,360,1,1,1,10,14,,0,Rare
Hoenn Safari Zone Area 2,Aron,304,1,1,1,22,26,Hard Stone,0,Rare
Hoenn Safari Zone Area 2,Beldum,374,1,1,1,33,36,Metal Coat,0,Rare
